Presynaptic_Type,Presynaptic_ID,Connectivity
LC4,720575940614582946,16
LC4,720575940639817947,16
LC4,720575940625906702,15
LC4,720575940614572742,14
LC4,720575940631032657,14
LPLC2,720575940647358243,16
LPLC2,720575940612462307,15
LPLC2,720575940614526974,15
LPLC2,720575940618608177,15
LPLC2,720575940629292785,15
