root_id,cell_type,super_class,side,top_nt,top_nt_conf,known_nt,known_nt_source,vfb_id,fbbt_id
720575940619263937,LPLC2,visual_projection,left,acetylcholine,0.6694084866855168,acetylcholine,"Davis et al., 2020 (TAPIN)",fw006563,FBbt_00111763
720575940628419527,LC4,visual_projection,right,acetylcholine,0.6270646276336582,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007240,FBbt_00003874
720575940624017251,LC4,visual_projection,left,acetylcholine,0.5373659637666931,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007275,FBbt_00003874
720575940625216202,LPLC2,visual_projection,left,acetylcholine,0.4426837498683296,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007295,FBbt_00111763
720575940623925774,LPLC2,visual_projection,left,acetylcholine,0.69747762380806,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007379,FBbt_00111763
720575940633552685,LPLC2,visual_projection,right,acetylcholine,0.5409526605781038,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007534,FBbt_00111763
720575940622939836,LC4,visual_projection,left,acetylcholine,0.6263759352816992,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007591,FBbt_00003874
720575940617176321,LC4,visual_projection,left,acetylcholine,0.5131245927081787,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007934,FBbt_00003874
720575940615332502,LPLC2,visual_projection,left,acetylcholine,0.5064714426894226,acetylcholine,"Davis et al., 2020 (TAPIN)",fw007982,FBbt_00111763
720575940624014524,LPLC2,visual_projection,right,acetylcholine,0.5578570290317812,acetylcholine,"Davis et al., 2020 (TAPIN)",fw008082,FBbt_00111763
720575940628518400,LC4,visual_projection,right,acetylcholine,0.6472406036380386,acetylcholine,"Davis et al., 2020 (TAPIN)",fw008245,FBbt_00003874
720575940615920453,LPLC2,visual_projection,right,acetylcholine,0.65236924517835,acetylcholine,"Davis et al., 2020 (TAPIN)",fw008364,FBbt_00111763
720575940627685765,LPLC2,visual_projection,left,acetylcholine,0.6287833739645868,acetylcholine,"Davis et al., 2020 (TAPIN)",fw008471,FBbt_00111763
720575940612498129,LC4,visual_projection,right,acetylcholine,0.5708245978004789,acetylcholine,"Davis et al., 2020 (TAPIN)",fw008822,FBbt_00003874
720575940624111763,LC4,visual_projection,left,acetylcholine,0.5792923887640562,acetylcholine,"Davis et al., 2020 (TAPIN)",fw009400,FBbt_00003874
720575940639817947,LC4,visual_projection,right,acetylcholine,0.6205130221966074,acetylcholine,"Davis et al., 2020 (TAPIN)",fw009418,FBbt_00003874
720575940625932421,LC4,visual_projection,right,acetylcholine,0.6284955002155974,acetylcholine,"Davis et al., 2020 (TAPIN)",fw009527,FBbt_00003874
720575940625038090,LC4,visual_projection,left,acetylcholine,0.5749044168548242,acetylcholine,"Davis et al., 2020 (TAPIN)",fw009680,FBbt_00003874
720575940632715234,LC4,visual_projection,right,acetylcholine,0.5853316182451903,acetylcholine,"Davis et al., 2020 (TAPIN)",fw009737,FBbt_00003874
720575940610522009,LC4,visual_projection,left,acetylcholine,0.6014026665803216,acetylcholine,"Davis et al., 2020 (TAPIN)",fw003036,FBbt_00003874
720575940616713355,LC4,visual_projection,left,acetylcholine,0.5549588249642996,acetylcholine,"Davis et al., 2020 (TAPIN)",fw011512,FBbt_00003874
720575940638835288,LPLC2,visual_projection,left,acetylcholine,0.5086694233536807,acetylcholine,"Davis et al., 2020 (TAPIN)",fw011734,FBbt_00111763
720575940629753807,LC4,visual_projection,left,acetylcholine,0.5305569620992916,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012231,FBbt_00003874
720575940616116697,LPLC2,visual_projection,right,acetylcholine,0.44382511748844566,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012472,FBbt_00111763
720575940629967703,LPLC2,visual_projection,right,acetylcholine,0.5365437687846908,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012579,FBbt_00111763
720575940622992205,LPLC2,visual_projection,right,acetylcholine,0.5465895108824318,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012589,FBbt_00111763
720575940606217138,LPLC2,visual_projection,right,acetylcholine,0.43943080868016,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012649,FBbt_00111763
720575940618538641,LPLC2,visual_projection,right,acetylcholine,0.7389851061314812,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012665,FBbt_00111763
720575940624919077,LPLC2,visual_projection,right,acetylcholine,0.471016270760894,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012726,FBbt_00111763
720575940620306904,LPLC2,visual_projection,left,acetylcholine,0.49512990414889724,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012779,FBbt_00111763
720575940640302389,LPLC2,visual_projection,left,acetylcholine,0.5459664373026804,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012836,FBbt_00111763
720575940623047629,LPLC2,visual_projection,right,acetylcholine,0.4526120315949199,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012839,FBbt_00111763
720575940627519107,LC4,visual_projection,left,acetylcholine,0.5762975340012252,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012922,FBbt_00003874
720575940613763759,LPLC2,visual_projection,left,acetylcholine,0.680267946770827,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012923,FBbt_00111763
720575940615967377,LPLC2,visual_projection,right,acetylcholine,0.5463204762726326,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012925,FBbt_00111763
720575940610116757,LPLC2,visual_projection,right,acetylcholine,0.5810880050127354,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012941,FBbt_00111763
720575940625001735,LPLC2,visual_projection,right,acetylcholine,0.4618588368507774,acetylcholine,"Davis et al., 2020 (TAPIN)",fw012983,FBbt_00111763
720575940612254701,LPLC2,visual_projection,right,acetylcholine,0.49550128046279224,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013044,FBbt_00111763
720575940640510427,LPLC2,visual_projection,right,acetylcholine,0.6749403746184385,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013094,FBbt_00111763
720575940625695269,LPLC2,visual_projection,left,acetylcholine,0.4704654816668978,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013164,FBbt_00111763
720575940635572592,LPLC2,visual_projection,right,acetylcholine,0.5601421579147366,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013185,FBbt_00111763
720575940633588320,LPLC2,visual_projection,right,acetylcholine,0.5524950422708941,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013199,FBbt_00111763
720575940609592674,LPLC2,visual_projection,right,acetylcholine,0.6485883056109202,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013273,FBbt_00111763
720575940603989420,LPLC2,visual_projection,left,acetylcholine,0.5010227895454986,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013317,FBbt_00111763
720575940624016778,LPLC2,visual_projection,right,acetylcholine,0.7006800652149702,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013353,FBbt_00111763
720575940626161930,LPLC2,visual_projection,right,acetylcholine,0.5205048608173561,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013376,FBbt_00111763
720575940628847164,LPLC2,visual_projection,left,acetylcholine,0.5231255667328556,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013379,FBbt_00111763
720575940616735489,LPLC2,visual_projection,right,acetylcholine,0.6408486643103118,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013416,FBbt_00111763
720575940620001718,LPLC2,visual_projection,right,acetylcholine,0.41313577593182665,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013435,FBbt_00111763
720575940628039034,LPLC2,visual_projection,right,acetylcholine,0.5353305955257275,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013447,FBbt_00111763
720575940612944382,LPLC2,visual_projection,right,acetylcholine,0.47740394714216805,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013476,FBbt_00111763
720575940629384271,LPLC2,visual_projection,right,acetylcholine,0.5331766470330179,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013487,FBbt_00111763
720575940615953302,LPLC2,visual_projection,left,acetylcholine,0.5264472508217349,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013507,FBbt_00111763
720575940616166685,LPLC2,visual_projection,right,acetylcholine,0.44320417890877895,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013508,FBbt_00111763
720575940627902078,LPLC2,visual_projection,left,acetylcholine,0.5650237317408127,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013525,FBbt_00111763
720575940606855554,LPLC2,visual_projection,right,acetylcholine,0.4325623251464158,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013551,FBbt_00111763
720575940632512226,LPLC2,visual_projection,right,acetylcholine,0.5263284597760538,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013555,FBbt_00111763
720575940624611002,LPLC2,visual_projection,right,acetylcholine,0.4338768933007579,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013560,FBbt_00111763
720575940612560680,LPLC2,visual_projection,left,acetylcholine,0.47604961807789775,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013578,FBbt_00111763
720575940642414837,LPLC2,visual_projection,left,acetylcholine,0.4400819509006151,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013579,FBbt_00111763
720575940622680088,LPLC2,visual_projection,left,acetylcholine,0.5158924559121382,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013584,FBbt_00111763
720575940620783180,LPLC2,visual_projection,right,acetylcholine,0.5040277655566495,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013591,FBbt_00111763
720575940622769159,LPLC2,visual_projection,right,acetylcholine,0.5118464248910134,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013608,FBbt_00111763
720575940623551684,LPLC2,visual_projection,left,acetylcholine,0.5307262783174476,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013617,FBbt_00111763
720575940626236041,LPLC2,visual_projection,left,acetylcholine,0.49464964264440187,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013669,FBbt_00111763
720575940614067167,LPLC2,visual_projection,right,acetylcholine,0.48329386910389227,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013688,FBbt_00111763
720575940647358243,LPLC2,visual_projection,right,acetylcholine,0.5008300822308037,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013690,FBbt_00111763
720575940618927892,LPLC2,visual_projection,left,acetylcholine,0.4830532193402729,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013703,FBbt_00111763
720575940614526974,LPLC2,visual_projection,right,acetylcholine,0.5368038994184088,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013706,FBbt_00111763
720575940648418425,LPLC2,visual_projection,left,acetylcholine,0.47835987567623384,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013736,FBbt_00111763
720575940645699124,LPLC2,visual_projection,right,acetylcholine,0.5800833222772973,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013738,FBbt_00111763
720575940613821290,LPLC2,visual_projection,right,acetylcholine,0.6105337796076121,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013744,FBbt_00111763
720575940619197318,LPLC2,visual_projection,left,acetylcholine,0.5168247435855663,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013747,FBbt_00111763
720575940624931530,LPLC2,visual_projection,right,acetylcholine,0.7680529022071687,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013808,FBbt_00111763
720575940612766691,LPLC2,visual_projection,left,acetylcholine,0.4971388883756419,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013819,FBbt_00111763
720575940631397549,LPLC2,visual_projection,right,acetylcholine,0.5363312944056551,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013825,FBbt_00111763
720575940645407268,LPLC2,visual_projection,left,acetylcholine,0.6445058979469402,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013839,FBbt_00111763
720575940645180196,LPLC2,visual_projection,right,acetylcholine,0.5740985676843625,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013867,FBbt_00111763
720575940643740964,LPLC2,visual_projection,left,acetylcholine,0.46664717803548683,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013921,FBbt_00111763
720575940636295019,LPLC2,visual_projection,left,acetylcholine,0.5050762286491152,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013923,FBbt_00111763
720575940615116731,LPLC2,visual_projection,right,acetylcholine,0.5223019488734968,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013928,FBbt_00111763
720575940614738444,LPLC2,visual_projection,left,acetylcholine,0.4660020067500226,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013946,FBbt_00111763
720575940628552247,LPLC2,visual_projection,left,acetylcholine,0.7398671871282765,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013961,FBbt_00111763
720575940624208824,LPLC2,visual_projection,left,acetylcholine,0.5092137626217408,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013990,FBbt_00111763
720575940626617084,LPLC2,visual_projection,left,acetylcholine,0.5816995258668689,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013992,FBbt_00111763
720575940622531767,LC4,visual_projection,left,acetylcholine,0.506449201960657,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013996,FBbt_00003874
720575940630650936,LPLC2,visual_projection,right,acetylcholine,0.550856783520056,acetylcholine,"Davis et al., 2020 (TAPIN)",fw013999,FBbt_00111763
720575940635234478,LPLC2,visual_projection,left,acetylcholine,0.45459109973668244,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014001,FBbt_00111763
720575940616008854,LPLC2,visual_projection,left,acetylcholine,0.5810364410091179,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014004,FBbt_00111763
720575940610953651,LPLC2,visual_projection,right,acetylcholine,0.4315915756991642,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014018,FBbt_00111763
720575940613219474,LPLC2,visual_projection,left,acetylcholine,0.6180392550905971,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014020,FBbt_00111763
720575940611740569,LPLC2,visual_projection,right,acetylcholine,0.4561959927111048,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014030,FBbt_00111763
720575940653742753,LPLC2,visual_projection,right,acetylcholine,0.43261494056968297,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014072,FBbt_00111763
720575940615288203,LPLC2,visual_projection,right,acetylcholine,0.4520987042969873,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014078,FBbt_00111763
720575940637958709,LPLC2,visual_projection,right,acetylcholine,0.6084194985742803,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014158,FBbt_00111763
720575940629368015,LPLC2,visual_projection,left,acetylcholine,0.7077065497281432,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014159,FBbt_00111763
720575940622425271,LPLC2,visual_projection,left,acetylcholine,0.5411401969695901,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014166,FBbt_00111763
720575940638456227,LC4,visual_projection,left,acetylcholine,0.5585483468093978,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014240,FBbt_00003874
720575940636957006,LC4,visual_projection,right,acetylcholine,0.670872992740332,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014273,FBbt_00003874
720575940638857048,LPLC2,visual_projection,right,acetylcholine,0.5467749694413954,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014288,FBbt_00111763
720575940629292785,LPLC2,visual_projection,left,acetylcholine,0.49293472074841604,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014291,FBbt_00111763
720575940628990214,LPLC2,visual_projection,right,acetylcholine,0.47681190009057883,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014293,FBbt_00111763
720575940655750305,LPLC2,visual_projection,left,acetylcholine,0.5369297500505582,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014299,FBbt_00111763
720575940628395797,LPLC2,visual_projection,left,acetylcholine,0.4749443738530429,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014315,FBbt_00111763
720575940625700739,LPLC2,visual_projection,left,acetylcholine,0.4031718785018107,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014326,FBbt_00111763
720575940637088602,LPLC2,visual_projection,right,acetylcholine,0.4093312403279873,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014346,FBbt_00111763
720575940625697772,LPLC2,visual_projection,left,acetylcholine,0.5187177013133452,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014349,FBbt_00111763
720575940607854531,LPLC2,visual_projection,left,acetylcholine,0.6338505875109599,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014376,FBbt_00111763
720575940635004271,LPLC2,visual_projection,left,acetylcholine,0.4501673746202267,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014395,FBbt_00111763
720575940622174463,LPLC2,visual_projection,right,acetylcholine,0.6512576681764303,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014414,FBbt_00111763
720575940636529520,LPLC2,visual_projection,left,acetylcholine,0.5471926086368878,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014422,FBbt_00111763
720575940622330582,LC4,visual_projection,right,acetylcholine,0.6116132203512162,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014429,FBbt_00003874
720575940618450496,LPLC2,visual_projection,right,acetylcholine,0.4713765858439908,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014453,FBbt_00111763
720575940620903551,LC4,visual_projection,left,acetylcholine,0.5467347223190137,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014459,FBbt_00003874
720575940661316993,LPLC2,visual_projection,right,acetylcholine,0.497957329210531,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014467,FBbt_00111763
720575940618266459,LC4,visual_projection,right,acetylcholine,0.6328988598690284,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014480,FBbt_00003874
720575940627553923,LPLC2,visual_projection,right,acetylcholine,0.5533644007433857,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014506,FBbt_00111763
720575940628778058,LPLC2,visual_projection,right,acetylcholine,0.6112701845272801,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014530,FBbt_00111763
720575940618608177,LPLC2,visual_projection,left,acetylcholine,0.524622624687752,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014550,FBbt_00111763
720575940636878682,LPLC2,visual_projection,right,acetylcholine,0.47541096194632726,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014558,FBbt_00111763
720575940613470947,LPLC2,visual_projection,left,acetylcholine,0.581335499264857,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014584,FBbt_00111763
720575940624755504,LPLC2,visual_projection,left,acetylcholine,0.4978480609296706,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014618,FBbt_00111763
720575940634700980,LPLC2,visual_projection,left,acetylcholine,0.5307935389715817,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014646,FBbt_00111763
720575940622009284,LPLC2,visual_projection,left,acetylcholine,0.7307949983026327,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014647,FBbt_00111763
720575940612874536,LPLC2,visual_projection,left,acetylcholine,0.5077528975408943,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014661,FBbt_00111763
720575940617026260,LC4,visual_projection,left,acetylcholine,0.5056471510028838,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014671,FBbt_00003874
720575940639878352,LPLC2,visual_projection,left,acetylcholine,0.5341141885047005,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014677,FBbt_00111763
720575940631582751,LPLC2,visual_projection,right,acetylcholine,0.44267128644631887,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014699,FBbt_00111763
720575940619981494,LPLC2,visual_projection,left,acetylcholine,0.46818094122145926,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014725,FBbt_00111763
720575940630831185,LPLC2,visual_projection,left,acetylcholine,0.5884943836620586,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014728,FBbt_00111763
720575940614631079,LPLC2,visual_projection,left,acetylcholine,0.5938063789120787,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014733,FBbt_00111763
720575940615907723,LPLC2,visual_projection,left,acetylcholine,0.5631867823415062,acetylcholine,"Davis et al., 2020 (TAPIN)",fw014736,FBbt_00111763
